text,category
tu envio salio del deposito. numero de seguimiento: #16460,delivery_logistics
tu suscripcion de $6626 se renueva en 2 dias,billing_reminder
your monthly invoice is ready. amount due: $829,billing_reminder
compra aprobada por $48.000 en Jumbo,transaction
tu reserva en clinica dental es manana 6/2 a las 4:30pm,appointment_reminder
recordatorio: el debito automatico de $8790 se ejecutara el 1/8,billing_reminder
your account has an outstanding balance of $2754. please settle it,billing_reminder
verificacion requerida: acceso sospechoso desde Berlin,security_alert
double points this weekend at Best Buy,promotion_offer
se acredito $94.000 en tu cuenta,transaction
rebaja de 25% en ropa en Shell solo este mes,promotion_offer
oferta exclusiva: 35% de rebaja en tu proxima compra en Amazon,promotion_offer
your purchase of $2945 at Best Buy is confirmed,transaction
you have been selected to win $1502! claim your prize before tomorrow,spam_advertising
intento de entrega fallido para pedido #97821. reagenda en nuestra app,delivery_logistics
no olvides tu cita con el medico el jueves a las 10:30am,appointment_reminder
suspicious activity detected on your account. please review your recent activity,security_alert
weekend offer: 35% discount on clothing at Walgreens,promotion_offer
tu paquete #30369 esta disponible para retiro en sucursal Santiago,delivery_logistics
do not forget your doctor appointment on Thursday at 11:00am,appointment_reminder
wrong password entered 3 times. account temporarily locked,security_alert
sale: todos los muebles a 45% de descuento en Rappi,promotion_offer
oferta de inversion: duplica tu dinero en 8 dias. 100% garantizado,spam_advertising
purchase of $1885 at CVS flagged as suspicious. was this you?,security_alert
work from home earning $1955 per month. limited spots! join now,spam_advertising
your Target purchase has left the warehouse,delivery_logistics
"authentication code: 449499. if this was not you, ignore this message",otp_verification
you are one of 6 winners selected. act now!,spam_advertising
recuerda tu consulta medica manana a las 10:00am en policlinico norte,appointment_reminder
successful transfer of $2716 to account 8973,transaction
deuda pendiente de $3367. paga antes del 4 para evitar intereses,billing_reminder
"to cancel your medical appointment on Monday, reply CANCEL",appointment_reminder
invierte $1538 hoy y gana $191.000 en 48 horas garantizado,spam_advertising
se acredito $206.000 en tu cuenta,transaction
acumula puntos dobles este fin de semana en Ripley,promotion_offer
metodo probado para ganar $137.000 por semana. sin inversion inicial,spam_advertising
exclusive offer: 50% discount on your next purchase at Best Buy,promotion_offer
gracias por contactarnos. tu ticket #9534 esta en proceso,customer_service
verificacion requerida: acceso sospechoso desde Argentina,security_alert
automated profit system! generate $1880 while you sleep,spam_advertising
your login verification code is 416282,otp_verification
someone logged into your account from Italy. do you recognize this?,security_alert
please confirm your medical appointment for tomorrow by replying YES,appointment_reminder
clinica central: tu consulta del 11/6 esta confirmada,appointment_reminder
urgente: ultimo cupo para ganar $368.000. llama ahora al 363-2476750,spam_advertising
codigo de acceso: 445824. caduca en 3 minutos,otp_verification
an agent will contact you within the next 42 minutes,customer_service
one-time pin: 170394. valid for this session only,otp_verification
your purchase of $897 at Apple Store is confirmed,transaction
compra de $396.000 en Rappi fue marcada como sospechosa. la rechazamos?,security_alert
acumula puntos dobles este fin de semana en Easy,promotion_offer
tienes una consulta medica programada para manana. presentate en recepcion a las 9:30am,appointment_reminder
tu contrato fue renovado exitosamente hasta 3/2025,customer_service
complete your sign-in with code 483629,otp_verification
your security code is 749813. expires in 10 minutes,otp_verification
health clinic: your dental checkup is confirmed for Monday,appointment_reminder
retiro de $304.000 en cajero automatico fue exitoso,transaction
alerta! tu cuenta tiene un bono de $8127 pendiente. activalo en 24h,spam_advertising
verificacion en 2 pasos: usa el codigo 529893,otp_verification
tu sesion fue cerrada por seguridad desde ip desconocida. ingresa nuevamente,security_alert
aprovecha nuestra promo: 3x2 en electrodomesticos hasta agotar stock,promotion_offer
"codigo de autenticacion: 346205. si no fuiste tu, ignora este mensaje",otp_verification
te regalamos $4939 en creditos. canjealos antes de que expiren hoy,spam_advertising
payment notice: you owe $2644 due on 23/8,billing_reminder
paga tu factura hoy y evita penalidades. monto: $5547,billing_reminder
alerta: login desde Peru registrado. si no fuiste tu actua ahora,security_alert
clearance sale: up to 70% off perfumes at Shell,promotion_offer
verification code: 332335. valid for 5 minutes,otp_verification
we resolved your case #4104. how would you rate our service?,customer_service
intento de acceso fallido 4 veces en tu cuenta. la bloqueamos por seguridad,security_alert
recordatorio de cita medica: miercoles a las 4:30pm,appointment_reminder
confirmacion de identidad requerida. tu codigo: 215266,otp_verification
tu numero fue sorteado! llama gratis al 323-3942041 para reclamar,spam_advertising
tu suscripcion de $8263 se renueva en 2 dias,billing_reminder
"to cancel your dental appointment on Monday, reply CANCEL",appointment_reminder
notificacion de cobro: se intentara debitar $3745 de tu cuenta el 16/7,billing_reminder
your refund of $1864 has been approved. it will be credited in 3 business days,customer_service
suscripcion mensual de $7635 cobrada a tarjeta 3885,transaction
automated profit system! generate $1002 while you sleep,spam_advertising
exclusive offer just for you! do not miss it: bit.ly/22121,spam_advertising
recuerda tu consulta medica manana a las 11:30am en policlinico norte,appointment_reminder
notificacion de cobro: se intentara debitar $1942 de tu cuenta el 6/4,billing_reminder
we confirm your medical appointment for 17/5. bring your id,appointment_reminder
el repartidor esta a 3 paradas de tu direccion. prepara tu entrega,delivery_logistics
you received a transfer of $2902 to your account,transaction
2x1 en calzado en Uber. solo hoy!,promotion_offer
recordatorio de cita dermatologica: jueves a las 4:00pm,appointment_reminder
tu pin de un solo uso es 173201. valido solo por esta sesion,otp_verification
your subscription of $5 renews in 7 days,billing_reminder
pago de servicios por $2971 completado exitosamente,transaction
support ticket #1108 opened. our team will respond within 35 hours,customer_service
tu contrato fue renovado exitosamente hasta 11/2026,customer_service
haz clic aqui y reclama tu regalo de $376.000: www.premio689.com,spam_advertising
members only: 25% discount at Shell this week,promotion_offer
limited time: 20% off books ends tonight,promotion_offer
health clinic: your ophthalmology checkup is confirmed for Friday,appointment_reminder
segundo aviso: factura vencida de $8003. evita el corte del servicio,billing_reminder
verification code: 993744. valid for 5 minutes,otp_verification
intento de entrega fallido para pedido #39131. reagenda en nuestra app,delivery_logistics
your refund of $2409 has been approved. it will be credited in 10 business days,customer_service
tu tarjeta fue usada por $474.000 en Shell,transaction
congratulations! you won $2358. call now 316-8396883,spam_advertising
soporte tecnico: tu incidencia #7511 esta siendo atendida,customer_service
your refund of $332 has been approved. it will be credited in 3 business days,customer_service
factura mensual generada por $3186. fecha limite de pago: 23/12,billing_reminder
metodo probado para ganar $394.000 por semana. sin inversion inicial,spam_advertising
pagaste $443.000 en Lider,transaction
tienes una consulta medica programada para manana. presentate en recepcion a las 11:00am,appointment_reminder
clinica central: tu consulta del 26/10 esta confirmada,appointment_reminder
tu sesion fue cerrada por seguridad desde ip desconocida. ingresa nuevamente,security_alert
someone logged into your account from Berlin. do you recognize this?,security_alert
codigo temporal 978157 para completar tu registro,otp_verification
recordatorio: el debito automatico de $9297 se ejecutara el 11/8,billing_reminder
recordatorio: tienes cita medica el jueves a las 11:00am,appointment_reminder
recordatorio de cita odontologica: viernes a las 11:00am,appointment_reminder
exclusive offer: 45% discount on your next purchase at Shell,promotion_offer
autenticacion de dos factores: 403507 es tu codigo,otp_verification
transfer of $2933 to account ending in 4249 completed,transaction
we confirm your medical appointment for 3/1. bring your id,appointment_reminder
alguien ingreso a tu cuenta desde Rusia a las 4:45,security_alert
envio gratis en tu proxima compra en Farmacia Cruz Verde. valido esta semana,promotion_offer
detectamos un intento de phishing en tu cuenta. no compartas tus datos,security_alert
realizaste una compra de $361.000 con tu tarjeta de credito,transaction
order #31802 delivered successfully. how was your experience?,delivery_logistics
tu caso esta siendo revisado por nuestro equipo. respuesta en 64 horas,customer_service
paga tu servicio antes del 1 para evitar la suspension,billing_reminder
card transaction: $523 debited from your account,transaction
no olvides tu cita con el medico el martes a las 2:00pm,appointment_reminder
your refund request is under review. we will notify you within 3 business days,customer_service
your doctor appointment has been rescheduled to Thursday at 5:00pm,appointment_reminder
your otp code is 225812. do not share it with anyone,otp_verification
payment reminder: $1252 due on 25/5,billing_reminder
invest $2215 today and earn $2083 in 48 hours guaranteed,spam_advertising
your number was drawn! call free 396-5687895 to claim,spam_advertising
promo especial: lleva 3 y paga 2 en calzado,promotion_offer
flash sale: 20% off shoes for the next 24 hours,promotion_offer
tu factura del mes esta disponible. monto a pagar: $5542,billing_reminder
your monthly invoice is ready. amount due: $1060,billing_reminder
ingresa 823811 para confirmar tu acceso,otp_verification
confirmacion de cita medica: viernes 14/4 a las 4:00pm,appointment_reminder
soporte tecnico: tu incidencia #3048 esta siendo atendida,customer_service
tu reclamo #3535 fue escalado a nivel 2. te informaremos pronto,customer_service
actualizamos tu ticket #2577 con nueva informacion. revisa tu email,customer_service
do not forget your doctor appointment on Friday at 3:00pm,appointment_reminder
delivery attempt failed for order #93284. reschedule in our app,delivery_logistics
payment reminder: $2383 due on 25/11,billing_reminder
your cancellation request #6142 has been received and is being processed,customer_service
pagaste $369.000 en Netflix,transaction
actualizacion de tu caso #2505: en revision por equipo especializado,customer_service
we resolved your case #8257. how would you rate our service?,customer_service
earn $334 from home. no experience needed. sign up now!,spam_advertising
your driver is 4 stops away. get ready for your delivery,delivery_logistics
payment reminder: $1998 due on 22/7,billing_reminder
urgent: last spot to win $2914. call now 372-3297254,spam_advertising
el repartidor esta a 14 paradas de tu direccion. prepara tu entrega,delivery_logistics
your refund of $2514 has been approved. it will be credited in 7 business days,customer_service
wrong password entered 4 times. account temporarily locked,security_alert
tu envio #88792 de Falabella fue confirmado y esta en preparacion,delivery_logistics
pay your bill today and avoid penalties,billing_reminder
tu pedido #63744 esta en camino. llega hoy entre 8:00am y 9:30am,delivery_logistics
pago de servicios por $1185 completado exitosamente,transaction
sistema automatico de ganancias! genera $108.000 mientras duermes,spam_advertising
te esperamos el miercoles a las 11:30am para tu control medico. trae resultados previos,appointment_reminder
recordatorio: tienes cita medica el martes a las 3:00pm,appointment_reminder
autenticacion de dos factores: 662636 es tu codigo,otp_verification
tu cuenta tiene un saldo pendiente de $5124. regulariza tu situacion,billing_reminder
your service will be suspended in 1 days due to non-payment,billing_reminder
eres el ganador seleccionado de $459.000! reclama tu premio antes de manana,spam_advertising
gana puntos canjeables por $2.000. solo hoy! ingresa tu numero,spam_advertising
members only: 40% discount at Best Buy this week,promotion_offer
delivery scheduled for tomorrow between 11:30am and 10:00am,delivery_logistics
confirmacion: pago de $8817 realizado con exito en Rappi,transaction
tu pedido llego al centro de distribucion de Lima,delivery_logistics
delivery attempt failed for order #76402. reschedule in our app,delivery_logistics
se acredito $239.000 en tu cuenta,transaction
someone logged into your account from Australia. do you recognize this?,security_alert
paquete #99957 en camino. firma requerida en la entrega,delivery_logistics
para cancelar tu cita de control del lunes responde CANCELAR,appointment_reminder
payment of $2547 to Target confirmed,transaction
double points this weekend at Walgreens,promotion_offer
gracias por contactarnos. tu ticket #7366 esta en proceso,customer_service
alerta de seguridad: tu correo asociado fue cambiado. si no fuiste tu contactanos,security_alert
exclusive offer just for you! do not miss it: bit.ly/53704,spam_advertising
seguimiento actualizado: tu paquete #75065 esta en aduana,delivery_logistics
recordatorio de pago: $4470 con vencimiento el 3/5,billing_reminder
tu turno oftalmologica es manana a las 5:00pm. no faltes,appointment_reminder
tu pedido #18083 esta en camino. llega hoy entre 4:30pm y 4:00pm,delivery_logistics
your purchase of $783 at Netflix is confirmed,transaction
recordatorio: el debito automatico de $1235 se ejecutara el 27/4,billing_reminder
recibiste una transferencia de $399.000 en tu cuenta,transaction
your cancellation request #2577 has been received and is being processed,customer_service
ultimo aviso: factura de $4944 vence hoy. paga ahora para evitar corte,billing_reminder
seguimiento actualizado: tu paquete #69151 esta en aduana,delivery_logistics
flash sale: 50% off clothing for the next 24 hours,promotion_offer
tienes una factura pendiente de $6181. paga antes del 22/6 para evitar recargos,billing_reminder
appointment reminder: follow-up checkup on Monday. please arrive 10 minutes early,appointment_reminder
recordatorio de pago: $8712 con vencimiento el 9/1,billing_reminder
flash sale: 50% off books for the next 24 hours,promotion_offer
descuento especial del 45% para clientes frecuentes de Uber,promotion_offer
your order reached the New York distribution center,delivery_logistics
tu token de verificacion es 238579. no lo reenvies,otp_verification
tu pedido llego al centro de distribucion de Concepcion,delivery_logistics
rebaja de 45% en muebles en Farmacia Cruz Verde solo este mes,promotion_offer
free shipping on orders over $328 at Walgreens,promotion_offer
pay your bill today and avoid penalties,billing_reminder
2-step verification: use code 986209,otp_verification
retiro de $312.000 en cajero automatico fue exitoso,transaction
your cancellation request #8654 has been received and is being processed,customer_service
tienes una factura pendiente de $5292. paga antes del 28/11 para evitar recargos,billing_reminder
paga tu servicio antes del 17 para evitar la suspension,billing_reminder
your session was closed due to suspicious activity. please log in again,security_alert
shipment #14062 is now in transit from Houston,delivery_logistics
tu solicitud ha sido recibida. te contactaremos en 3 dias habiles,customer_service
hospital norte: recordatorio de tu turno oftalmologica manana,appointment_reminder
paquete #77603 en camino. firma requerida en la entrega,delivery_logistics
envio gratis en tu proxima compra en Netflix. valido esta semana,promotion_offer
tu compra en Ripley por $451.000 fue procesada,transaction
tu verificacion telefonica: 913423,otp_verification
realizaste una compra de $187.000 con tu tarjeta de credito,transaction
pagaste $382.000 en Easy,transaction
abono de $368.000 recibido en tu cuenta de ahorros,transaction
your bill of $2706 is due on 28/3. pay now to avoid penalties,billing_reminder
confirmacion de cita medica: lunes 9/11 a las 10:30am,appointment_reminder
click here to claim your $2355 reward: www.prize752.com,spam_advertising
members only: 70% discount at Netflix this week,promotion_offer
realizaste una compra de $152.000 con tu tarjeta de credito,transaction
eres el ganador seleccionado de $97.000! reclama tu premio antes de manana,spam_advertising
inicio de sesion desde Argentina en tu cuenta. reconoces este acceso?,security_alert
liquidacion de electrodomesticos: hasta 10% de descuento en Shell,promotion_offer
wrong password entered 4 times. account temporarily locked,security_alert
confirmamos tu cita medica para el 8/12 a las 9:00am,appointment_reminder
weekend offer: 25% discount on clothing at Uber,promotion_offer
tu cashback de $1511 esta disponible para usar en Easy,promotion_offer
promo especial: lleva 3 y paga 2 en tecnologia,promotion_offer
ingresa 900177 para confirmar tu acceso,otp_verification
para recuperar tu contrasena usa el codigo 904624,otp_verification
failed login attempt 2 times. your account has been locked,security_alert
seasonal promo: 35% off all electronics at Walmart,promotion_offer
soporte tecnico: tu incidencia #3994 esta siendo atendida,customer_service
your plan change request has been processed successfully,customer_service
envio gratis en tu proxima compra en Jumbo. valido esta semana,promotion_offer
tu cuenta tiene un saldo pendiente de $9452. regulariza tu situacion,billing_reminder
recibiste una transferencia de $128.000 en tu cuenta,transaction
your otp code is 914571. do not share it with anyone,otp_verification
te regalamos $8004 en creditos. canjealos antes de que expiren hoy,spam_advertising
your subscription of $150 renews in 6 days,billing_reminder
soporte tecnico: tu incidencia #9987 esta siendo atendida,customer_service
order #80190 delivered successfully. how was your experience?,delivery_logistics
tienes un cupon de 15% dcto valido hasta el 16/1,promotion_offer
compra de $375.000 en Paris fue marcada como sospechosa. la rechazamos?,security_alert
alerta! tu cuenta tiene un bono de $3360 pendiente. activalo en 24h,spam_advertising
urgent: last spot to win $2540. call now 305-7133266,spam_advertising
you spent $1563 at Apple Store,transaction
alert: sign in from Brazil at 21h. not you? change password,security_alert
work from home earning $1333 per month. limited spots! join now,spam_advertising
tu solicitud ha sido recibida. te contactaremos en 5 dias habiles,customer_service
tu envio salio del deposito. numero de seguimiento: #92674,delivery_logistics
deuda pendiente de $7701. paga antes del 13 para evitar intereses,billing_reminder
promo especial: lleva 3 y paga 2 en calzado,promotion_offer
tu compra de $13.000 en Farmacia Cruz Verde fue autorizada,transaction
encuesta: como fue tu experiencia con nuestro servicio al cliente?,customer_service
has sido preseleccionado para ganar $12.000. confirma tus datos ya,spam_advertising
card transaction: $361 debited from your account,transaction
tu devolucion de $4866 fue aprobada. acreditaremos en 9 dias habiles,customer_service
verificacion en 2 pasos: usa el codigo 178463,otp_verification
tu codigo otp es 396578. no lo compartas con nadie,otp_verification
oferta exclusiva: 60% de rebaja en tu proxima compra en Lider,promotion_offer
flash sale: 50% off shoes for the next 24 hours,promotion_offer
failed login attempt 4 times. your account has been locked,security_alert
aprovecha nuestra promo: 3x2 en deportes hasta agotar stock,promotion_offer
earn $251 from home. no experience needed. sign up now!,spam_advertising
tu pago de $103.000 en Paris fue confirmado,transaction
cargo de $5069 aplicado a tu tarjeta terminada en 8385,transaction
limited time: 20% off sports gear ends tonight,promotion_offer
tu codigo de seguridad es 599380. expira en 10 minutos,otp_verification
para continuar ingresa el codigo 524707 en la aplicacion,otp_verification
your login verification code is 783157,otp_verification
ingresa 576919 para confirmar tu acceso,otp_verification
segundo aviso: factura vencida de $4737. evita el corte del servicio,billing_reminder
2-step verification: use code 765620,otp_verification
entrega programada para manana entre 2:30pm y 2:30pm. alguien debe estar en casa,delivery_logistics
consigue $88.000 adicionales al mes trabajando solo 3 horas al dia,spam_advertising
order #62727 delayed due to weather. new estimate: tomorrow,delivery_logistics
confirmacion: pago de $9816 realizado con exito en Rappi,transaction
se debito $494.000 de tu cuenta corriente terminada en 6096,transaction
recordatorio: el debito automatico de $7900 se ejecutara el 3/12,billing_reminder
atm withdrawal of $1138 was successful,transaction
verificacion en 2 pasos: usa el codigo 174878,otp_verification
eres uno de los 8 ganadores seleccionados. actua ahora!,spam_advertising
your doctor appointment has been rescheduled to Wednesday at 2:30pm,appointment_reminder
rebaja de 30% en libros en Jumbo solo este mes,promotion_offer
eres uno de los 14 ganadores seleccionados. actua ahora!,spam_advertising
verificacion requerida: acceso sospechoso desde Berlin,security_alert
urgent: last spot to win $362. call now 310-7554564,spam_advertising
transaction of $1625 at Apple Store approved,transaction
support ticket #5501 opened. our team will respond within 32 hours,customer_service
recuerda tu consulta medica manana a las 11:30am en policlinico norte,appointment_reminder
tu solicitud de cambio de plan fue procesada exitosamente,customer_service
unauthorized access attempt from Brazil. your account may be at risk,security_alert
pay your bill today and avoid penalties,billing_reminder
your order #61213 is on its way. arrives today between 2:30pm and 3:00pm,delivery_logistics
suspicious activity detected on your account. please review your recent activity,security_alert
members only: 45% discount at Netflix this week,promotion_offer
segundo intento de entrega para #27103 sera manana a las 10:30am,delivery_logistics
pedido #99282 entregado exitosamente. como fue tu experiencia?,delivery_logistics
we could not deliver your package #53598 today. rescheduling for tomorrow,delivery_logistics
your driver is 2 stops away. get ready for your delivery,delivery_logistics
shipment #36171 is now in transit from New York,delivery_logistics
detectamos un intento de phishing en tu cuenta. no compartas tus datos,security_alert
second notice: overdue invoice of $652. avoid service interruption,billing_reminder
tu codigo de seguridad es 346174. expira en 10 minutos,otp_verification
unusual login detected from Mexico. was this you?,security_alert
members only: 15% discount at CVS this week,promotion_offer
limited time: 35% off furniture ends tonight,promotion_offer
tienes un cupon de 25% dcto valido hasta el 24/1,promotion_offer
hospital norte: recordatorio de tu turno de control manana,appointment_reminder
tu reserva en clinica dental es manana 12/11 a las 10:30am,appointment_reminder
el repartidor esta a 6 paradas de tu direccion. prepara tu entrega,delivery_logistics
payment notice: you owe $1116 due on 22/11,billing_reminder
tu caso #9086 fue asignado a un agente. tiempo estimado: 14 horas,customer_service
tu verificacion telefonica: 560485,otp_verification
your cancellation request #5895 has been received and is being processed,customer_service
actualizacion de tu caso #1172: en revision por equipo especializado,customer_service
never share this code: 666211. we will never ask for it,otp_verification
segundo aviso: factura vencida de $2131. evita el corte del servicio,billing_reminder
your refund of $1645 has been approved. it will be credited in 7 business days,customer_service
tu envio #13416 de Uber fue confirmado y esta en preparacion,delivery_logistics
eres uno de los 13 ganadores seleccionados. actua ahora!,spam_advertising
tu devolucion de $931 fue aprobada. acreditaremos en 9 dias habiles,customer_service
sale: todos los tecnologia a 10% de descuento en Jumbo,promotion_offer
automated profit system! generate $2778 while you sleep,spam_advertising
promo exclusiva solo para ti! no te lo pierdas: www.oferta940.com,spam_advertising
no compartas este codigo: 326040. nadie te lo pedira,otp_verification
your follow-up appointment is confirmed for 2/9 at central clinic,appointment_reminder
detectamos un inicio de sesion inusual desde Chile. fuiste tu?,security_alert
abono de $344.000 recibido en tu cuenta de ahorros,transaction
recordatorio: tu pago de $3610 vence manana. evita penalidades,billing_reminder
tu cita oftalmologica fue reagendada para el miercoles. confirma respondiendo SI,appointment_reminder
tu solicitud ha sido recibida. te contactaremos en 4 dias habiles,customer_service
delivery attempt failed for order #53449. reschedule in our app,delivery_logistics
automated profit system! generate $2978 while you sleep,spam_advertising
members only: 30% discount at Best Buy this week,promotion_offer
your follow-up appointment is confirmed for 21/1 at central clinic,appointment_reminder
